law_id,state,bill_number,title,enactment_date,effective_date,status,primary_source_url,local_text_path,source_format,transport_policy,expected_raw_sha256,expected_text_marker,amends_law_id,inactive_from_date,superseded_by_law_id,mixed_effective_dates,collection_status,notes
IL-2025-HB1806,IL,HB1806,Wellness and Oversight for Psychological Resources Act,2025-08-01,2026-01-01,enacted,https://www.ilga.gov/legislation/PublicActs/View/104-0054,data/raw/full/IL-2025-HB1806.txt,html,strict,,,,,,false,ready,Therapy AI restrictions consent and permitted uses
ME-2025-LD1727,ME,LD1727,AI Chatbot Consumer Disclosure,2025-06-20,2025-09-23,enacted,https://legislature.maine.gov/legis/statutes/10/title10sec1500-DD.html,data/raw/full/ME-2025-LD1727.txt,html,strict,,,,,,false,ready,Codified official statute section
MD-2025-HB820,MD,HB820,Health Insurance Utilization Review AI,2025-05-20,2025-10-01,enacted,https://mgaleg.maryland.gov/2025RS/Chapters_noln/CH_747_hb0820t.pdf,data/raw/full/MD-2025-HB820.txt,pdf,strict,,,,,,false,ready,Chapter 747 health utilization-review AI safeguards
MN-2024-HF4757,MN,HF4757,Minnesota Consumer Data Privacy Act,2024-05-24,2025-07-31,enacted,https://www.revisor.mn.gov/laws/2024/0/121/laws.5.13.0,data/raw/full/MN-2024-HF4757.txt,html,strict,,,,,,true,ready,Chapter 121 includes profiling explanation and challenge rights
MT-2025-SB212,MT,SB212,Right to Compute Act,2025-04-16,2025-04-16,enacted,https://archive.legmt.gov/content/Sessions/69th/Contractor_index/CH0150.pdf,data/raw/full/MT-2025-SB212.txt,pdf,strict,,,,,,false,ready,Critical infrastructure AI risk-management policy
MT-2025-HB178,MT,HB178,Government Use of Artificial Intelligence Systems,2025-05-08,2025-10-01,enacted,https://archive.legmt.gov/content/Sessions/69th/Contractor_index/CH0427.pdf,data/raw/full/MT-2025-HB178.txt,pdf,strict,,,,,,false,ready,Government use disclosure prohibition and human review
NE-2026-LB525,NE,LB525,Conversational Artificial Intelligence Safety Act,2026-04-14,2027-07-01,enacted,https://nebraskalegislature.gov/FloorDocs/109/PDF/Slip/LB525.pdf,data/raw/full/NE-2026-LB525.txt,pdf,strict,,,,,,false,ready,AI chatbot sections 12-18 operative 2027-07-01
NH-2025-HB143,NH,HB143,Responsive Generative Communication with Children,2025-08-01,2026-01-01,enacted,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?id=339&sy=2025&txtFormat=html,data/raw/full/NH-2025-HB143.txt,html,strict,,,,,,false,ready,Child-harm restriction and civil enforcement
NV-2025-AB406,NV,AB406,Artificial Intelligence in Mental and Behavioral Health,2025-06-09,2025-10-01,enacted,https://www.leg.state.nv.us/Session/83rd2025/Bills/AB/AB406.pdf,data/raw/full/NV-2025-AB406.txt,pdf,strict,,,,,,false,ready,Mental-health AI restrictions
NV-2025-AB325,NV,AB325,Artificial Intelligence Emergency Decisions,2025-05-30,2025-10-01,enacted,https://www.leg.state.nv.us/Session/83rd2025/Bills/AB/AB325_EN.pdf,data/raw/full/NV-2025-AB325.txt,pdf,strict,,,,,,false,ready,Government emergency and utility final-decision safeguards
NY-2026-S8828,NY,S8828,RAISE Act Chapter Amendment,2026-03-27,2027-01-01,enacted,https://legislation.nysenate.gov/pdf/bills/2025/S8828,data/raw/full/NY-2026-S8828.txt,pdf,strict,,,,NY-2025-S6953,,,false,ready,Controlling frontier-model chapter amendment
NY-2026-A10008C,NY,A10008C,FY27 Transportation Economic Development and Environmental Conservation Budget,2026-05-26,,enacted,https://legislation.nysenate.gov/pdf/bills/2025/A10008C,data/raw/full/NY-2026-A10008C.txt,pdf,strict,,,,,,true,ready,Omnibus act includes minor platform and integrated AI companion controls; effective dates must be resolved by row
OR-2026-SB1546,OR,SB1546,Artificial Intelligence Companions,2026-04-07,2027-01-01,enacted,https://olis.oregonlegislature.gov/liz/2026R1/Downloads/MeasureDocument/SB1546/Enrolled,data/raw/full/OR-2026-SB1546.txt,pdf,strict,,,,,,false,ready,Chapter 85; chatbot obligations
RI-2026-S2195,RI,S2195,Artificial Intelligence Companion Models,2026-06-29,2027-01-01,enacted,https://webserver.rilegislature.gov/BillText/BillText26/SenateText26/S2195.pdf,data/raw/full/RI-2026-S2195.txt,pdf,strict,,,,,,false,ready,Official bill text; final enactment status independently cross-checked
TX-2025-HB149,TX,HB149,Texas Responsible Artificial Intelligence Governance Act,2025-06-22,2026-01-01,enacted,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00149F.htm,data/raw/full/TX-2025-HB149.txt,html,strict,,,,,,false,ready,TRAIGA enrolled text
TX-2025-SB1188,TX,SB1188,Health Care Artificial Intelligence,2025-06-20,2025-09-01,enacted,https://capitol.texas.gov/tlodocs/89R/billtext/html/SB01188F.htm,data/raw/full/TX-2025-SB1188.txt,html,strict,,,,,,false,ready,Health AI disclosure and review safeguards
TX-2025-SB815,TX,SB815,Automated Health Benefit Claim Decisions,2025-06-20,2025-09-01,enacted,https://capitol.texas.gov/tlodocs/89R/billtext/html/SB00815F.htm,data/raw/full/TX-2025-SB815.txt,html,strict,,,,,,false,ready,Health claim automated decision restrictions
TX-2025-SB1964,TX,SB1964,Government Use of Artificial Intelligence Systems,2025-06-20,2025-09-01,enacted,https://capitol.texas.gov/tlodocs/89R/billtext/html/SB01964F.htm,data/raw/full/TX-2025-SB1964.txt,html,strict,,,,,,true,ready,Large government AI governance act with mixed operative dates
UT-2025-SB180,UT,SB180,Law Enforcement Usage of Artificial Intelligence,2025-03-25,2025-05-07,enacted,https://le.utah.gov/Session/2025/bills/enrolled/SB0180.pdf,data/raw/full/UT-2025-SB180.txt,pdf,strict,,,,,,false,ready,Law-enforcement policy disclosure and human review
WA-2026-HB2225,WA,ESHB2225,Artificial Intelligence Companion Chatbots,2026-03-24,2027-01-01,enacted,https://lawfilesext.leg.wa.gov/biennium/2025-26/Htm/Bills/Session%20Laws/House/2225-S.SL.htm,data/raw/full/WA-2026-HB2225.txt,html,strict,,,,,,false,ready,Chapter 168 Laws of 2026
