freeze_date,state,bill_number,year,category,status,include_confirmatory,temporal_role,discovery_source,reason
2026-08-25,NY,S9008C,2026,chatbot,enacted,true,current,FPF_2026_chatbot,Enacted FY27 chatbot age and parental-control provisions
2026-08-25,OR,SB1546,2026,chatbot,enacted,true,current,FPF_2026_chatbot,Enacted chatbot transparency professional-service content and harm-response duties
2026-08-25,RI,SB2195,2026,chatbot,enacted,true,current,FPF_2026_chatbot,Enacted chatbot disclosure transparency and harm-response duties
2026-08-25,WA,HB2225,2026,chatbot,enacted,true,current,FPF_2026_chatbot,Enacted companion-chatbot disclosure child-safety and harm-response duties
2026-08-25,AR,HB1958,2025,government_AI,enacted,true,current,NCSL_crosscheck,Public-entity AI-use policy creates operative government-use governance duty
2026-08-25,AZ,HB2175,2025,health_AI,enacted,true,current,NCSL_crosscheck,AI restriction in medical-claim denial maps to health_restriction
2026-08-25,MD,HB820,2025,health_AI,enacted,true,current,NCSL_crosscheck,Health utilization-review AI safeguards map to health and human-review domains
2026-08-25,MT,HB178,2025,government_AI,enacted,true,current,NCSL_crosscheck,Government AI limits disclosures and human-review duties map to fixed domains
2026-08-25,NV,AB325,2025,government_utility_AI,enacted,true,current,NCSL_crosscheck,AI restrictions in emergency and public-utility decisionmaking map to government_use and human_oversight
2026-08-25,TX,SB815,2025,health_AI,enacted,true,current,NCSL_crosscheck,Automated health-benefit claim safeguards map to health and oversight domains
2026-08-25,TX,SB1964,2025,government_AI,enacted,true,current,NCSL_crosscheck,Government AI notification impact-assessment and data-management duties map to fixed domains
2026-08-25,UT,SB180,2025,government_AI,enacted,true,current,NCSL_crosscheck,Law-enforcement generative-AI policy disclaimer and human-review duties map to fixed domains
2026-08-25,NM,HB178,2025,health_AI_rulemaking,enacted,false,current,NCSL_crosscheck,Delegated nursing-board rulemaking without a directly codable regulated-actor obligation is excluded from confirmatory tables
